"模板","水评","comment"
"","","一次买了2件，质量还可以，今天到的货，喜欢，好评"
"","","衣服还好，就是胸前的小鹿提花不太好，买来穿着玩的，老公出差了，没有试合不合适，看着差不多，好评"
"","1.0","好看！和图片上的一样，真好，喜欢！！！"
"","","穿着很舒服，里面加绒很柔软舒适，下次还会在来"
"","","效果不好，衣服是拼接的不是一体的，穿上超不舒服，还有详情里面号码偏小，买了结果不能穿"
"","","买了好几件，黑色的质量会好点，不太会起球，其他的洗一次就起球了"
"","","衣服挺厚的，南方穿刚刚好，就是棱角有点不齐！"
"","1.0","宝贝的面料值这个钱哦"
"","","第二次购买了，上次买了觉得很合身而且也挺舒服的就又买了。非常不错的价格能买到真是太实惠了。"
"","","线头是真的多"
"","","线头还真的不是一般的多，差评"
"","","已经是第二次买了，穿在身上特别的暖和，面料也比较好。好的东西值得拥有。"
"","","这件不如上件质量好，身上的条纹已屋屋裂开了，衣服柔软度也不如上件好多，"
"","","面料很不好，穿身上也不舒服，收到的衣服上面都发霉了，洗了下水好脏！"
"","1.0","上身效果非常好、花纹也非常精致：要买的赶紧下单啦，"
"","1.0","很好看，不错"
"","","穿着很合身很喜欢😊"
"1.0","1.0","很有耐心的卖家，以后有需要还会回购的。说它不好的我都想去拼命！质量非常好，与卖家描述的完全一致，非常满意,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物宝贝收到了，非常满意，以后再来。终于找到家好店，服务好，质量不错，下次有机会再来买。到货很迅速，质量很好，好店铺，推荐了~"
"","","衣服还可以质量很好，谢谢发货速度很快"
"","","有股很大的味道。用洗衣液洗完还有味道。然后还有线头。总体觉得反正就那样。也就能穿一个月左右。价格在哪摆着。"
"","","绝对的好评，衣服不错，与描述相符，而且也挺实惠的，刚刚试穿了一下，穿上挺暖和的，建议大家买，虽然只有一点点弹性，但是我觉得挺好的，要不然弹性太大了，一洗的话就变大了。"
"1.0","1.0","此用户没有填写评论!"
"","","衣服不错，这么冷的天穿上很暖和，值得拥有，五星好评"
"1.0","","薄款的适合春秋穿  面料舒适。其他平台的比这便宜一半我为什么选择这家店铺呢？   我始终是相信一分钱一分货的。这个价位买到这个质量的衣服我觉得值了。"
"","1.0","此用户没有填写评论!"
"","","第二次购买了 质量不错"
"","1.0","呱呱呱呱呱呱嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎嘎非常好，里面还有加绒。  哈哈哈哈哈嘎嘎嘎嘎"
"","","不错哦，物美价廉，穿起来舒服，不起球"
"","","买回来的颜色跟展示图片的都不一样"
"","","衣服穿上去很舒服，很好。大小刚好合适，太棒了，便宜。"
"","","还不错，就是衣袖不听话，"
"","","宝贝之前就到了，穿起来很舒服，很暖😊"
"","","质量很好，穿起来很暖和，就是拍的时候衣服短了一点，深圳可以穿着过几天冷天，非常不错。"
"","","衣服收到了，穿起来比较舒适，大小正好合身而且衣服价格比较实惠很喜欢"
"","","宝贝收到了，摸上去的手感还可以，刚收到穿上去有点儿紧，但穿了儿次就比较松一点了"
"","","挺好，老公很喜欢，非常不错。"
"1.0","1.0","此用户没有填写评论!"
"","","衣服收到了，这个时候才来评价。总的来说衣服颜色和图片一样，没有色差。加绒的穿着很暖和。"
"","","衣服收到了，非常的不错，穿上也挺合适的，物流也很效率，赞一个。"
"","1.0","很好，跟图片相符，物美价廉，点赞。下次继续回购"
"","","买的是加绒的 绒呢  我怎么没看到"
"1.0","1.0","此用户没有填写评论!"
"1.0","","买的，很便宜，相当划算。质量棒棒哒价格很实惠，布料很舒服，，就算现在这个季节穿也不会觉得很闷。手感很好，穿着很合身，上身效果好，挺厚实。无色差，做エ厚实仔细，做工扎实，收到试了蛮好，过水不褪色，包装很齐，这款的做エ很不错衣服是真的好看.纯色的非常百搭。不显胖显瘦。物美价廉。让我非常满意的一次购物。宝贝正是我想要的款式。宝贝包装完整。非常快的送到我手里。颜色显得人干净。搭外套穿很暖和。质量好还不贵。小伙伴们都喜欢。还吵我要了链接。同款。没有色差。下水也不变形。推荐"
"","","质量真差    骗人"
"","","这衣服面料跟装化肥的袋子一样粗糙，里面加的绒也算得上是工业填充化纤，味大得几米远都能闻到，决对的差，不骗大家良心评价，我是不敢穿，穿的身上掉一身白毛痒得人死。"
"","","衣服质量很好穿起来又暖推荐大家买。而且穿起来好看"
"1.0","1.0","此用户没有填写评论!"
"","","这家店的衣服一点都不规格，袖子短得要命无法穿，虽然钱少但是质量应该保证啊"
"","","袖子短了感觉好小"
"","","衣服不错，摸起来很舒服，挺厚的，很适合冬天穿！"
"1.0",""1.0,"衣服面料特别好！虽然没有买加厚的，但足够暖和，价廉物美，颜色和商家描述的一样，按尺寸购买，大小准确，合适。是一次满意的购物，给满分，好评。喜欢这款的人，不要错过，绝对可以考虑购买，我可不是托哦！我是实话实说。"
"","","衣服不错，穿了一下很合身穿的舒服"
"","","以这个价位来说比较不错了"
"","","衣服都是坏的，还牌子货。"
"","","太薄，实在太薄"
"","","色差太大了吧"
"","","衣服面料非常好，很贴身，很修身，下次还买"
"","","tama的，出了钱买个烂衣服，虽然说二十块钱，但是起码你也完好无损啊！既然烂的，还一直要我好评还知道自己不容易，你他ma我容易吗？穷的二十块钱买个衣服还是烂衣服，那二十块钱我当掉了，我都没说你们什么，你们反而还一天到晚发信息给我，我不说出来都不得，这种没良心的商家，二十块钱不多但是也是你们赚钱的工具，你这样子骗顾客好吗？良心过得去吗"
"","","烂衣服，不良商家"
"","","它只是件长袖T恤而已"
"","","刚收到，物流很快，一下就到了。衣服很不错，确实挺厚的。样子也好看，摸起来很舒适。值得购买。"
"","","质量很好"
"","","卫衣不错，挺厚实的，保暖，就是有开线3厘米左右，其他还好吧"
"1.0","1.0","此用户没有填写评论!"
"","","黑色掉色实在是太严重了，每次洗衣服水都成黑色了"
"","","衣服很好，很满意的一次购物"
"","","面料不错，穿起来很舒服很自然，绝对好评"
"","","上有不满意衣服 脏的"
"","","可以，面料很好。"
"","1.0","很好很强大和图一样样的。"
"","","还不错，给叔叔买的，很合适"
"","","看着还不错衣服也合身就是不知道穿久会不会掉色"
"","","衣服质量好，不起绒，洗后不变形！😄😄衣服外观设计悄欠火候"
"1.0","1.0","此用户没有填写评论!"
"","","衣服是给老公买的.穿上去很好看.质量也可以.五星好评.哈哈哈"
"","","衣服质量不错，身高170体重75公斤这个码很合适，颜色好看，时尚百搭，价格实惠，大爱"
"","","衣服面料很舒适也很柔软，和图片一样；上身效果也不错。"
"","","样式新胤是吸引点，面料不是入身的那种，楼下楼上说的痒啊、针角大啊，都有；属于那种远看想抱近观想掐死冲动的，再说一文价格一分货，也算物超所值了，嘿嘿，图就免了，就算抽了包烟"
"","","衣服颜色还好，开始以为是一体的，后面发现是拼接的，稍微有点不习惯，当然服务态度还是不错的。"
"","","拍大了一个码数，穿上刚刚好，价格挺便宜的，没有色差，可以入手。"
"1.0","1.0","此用户没有填写评论!"
"","","很意外，还不错。怀着赌博的心情下单，意外发现赌赢了。第一感觉，版型不错，做工也不错，很合身。不足的是料子一般般，但也对得起这个价位。我是当工作穿的，在工地上搬砖能穿什么好衣服呢😄总之一句话，还不错，绝对对的起这个价格，有什么说什么。物流也快，服务不知道，网购像赌博。买的好就是赚到，不好就是赌输了，懒得去麻烦客服。大家觉得呢？"
"1.0","1.0","此用户没有填写评论!"
"","","衣服还不错，关键是价格实惠，不会褪色，总体还可以"
"1.0","1.0","第一次买了一件感觉很好， 今天又买了一件 好衣服绝对有好买家， 我还会再买，希望大家也可以买来试试 又便宜买好料。商品无异味，还挺美观实用，ヾ(●&amp;acute;&amp;nabla;｀●)?哇～Jeg elsker deg很满意 第一次买了一件感觉很好， 今天又买了一件 好衣服绝对有好买家， 我还会再买，希望大家也可以买来试试 又便宜买好料这件衣服用料很好，不起皱 穿起来很贴身很轻便，保暖效果也是不错的 这个价位性价比已经非常高了 第一次买了一件感觉很好， 今天又买了一件 好衣服绝对有好买家， 我还会再买，希望大家也可以买来试试 又便宜买好料。商品无异味，还挺美观实用，ヾ(●&amp;acute;&amp;nabla;｀●)?哇～Jeg els"
"1.0","1.0","此用户没有填写评论!"
"","","起毛了，便宜东西就这样吧，不耐穿"
"","","嗯不错，客服挺好交流的，商品跟价格相符，然后也没有什么色差，看起来挺好的，就这样吧。"
"","1.0","我们想过房子买在哪 按什么风格装修 买什么牌子的车 儿子叫什么名字 他吃我吃剩的饭 我们一起坐火车 我们在床上睡一整天 我戴他买的戒指 他穿我买的衬衣 他用我笑的很难看的照片当屏保 我不知道她是不是想嫁给我，我一直都想要娶她  所有人都觉得我们应该在一起 可是我们已经分手了"
"","","衣服挺不错的，面料挺好的，做工精细，款式新颖。弟弟特别喜欢，打算在买一件 好评！！！！可以的！！！"
"","","料子非常好。而且又实惠 下次还会来"
"","","保暖不起球舒适好看，内穿外露都行"
"","","衣服穿上很帅气，质量也是很不错。朋友们都说好！下次还来！"
"","1.0","美观大方经济实惠！太超值了"
"","","物运挺快的，客服态度很好，衣服物价廉美，很值一买"
"","","衣服真心的不错，穿着好看，而且也舒服，质量很好，而且这个价格买到这样的很好了，赞"
"","","衣服不错，物流速度挺快的，很满意^&omega;^"
"","","一分钱一分货，性价比高，但感觉有点偏小。布料不是是纯棉，暂时没起毛头。"
"","1.0","。"
"","","上身效果挺好的"
"","","挺好的刺绣。"
"","1.0","衣服可以，是我想要的。"
"","","质量真心一般，一大股难闻的味道，寄过来的衣服有污渍，不建议购买！！！"
"","","有污渍"
"","","一分钱一分货，毕竟价格在那，"
"","","挺好看的，里面哎呦点绒，穿着也比较舒服"
"","","感觉还不错，挺合身，打算过年穿的，目前还没洗，所以不知道会不会褪色，总体而言是不错的"
"","","不能搁肉穿，里面得套件衣服，否则拼接处的缝穿着有点不舒服，总体来说还挺不错"
"","","在家穿着挺好的，老公穿上挺帅的，价格与质量成正比"
"","","衣服面料不错，稍稍厚点就更不错了。卖家服务超级好 大家多多光临"
"","","到佛山物流速度还行，出差回来打开试了下挺满意，做工好，属于偏厚的面料，还防风。"
"","","上身效果很棒，很满意的一次购物！"
"","","那些怂货给的好评了，真是卖着自己的良心，差的就跟乱秋裤一样，千万不要买，买回来也是个扔"
"","","差差差差差"
"1.0","1.0","此用户没有填写评论!"
"","","穿上去不舒服 很别扭  感觉特别奇怪。 还是别买了"
"","","衣服手感还不错 质量也可以～比想象的好 属实 就是不知道洗过之后怎样～价位便宜 良心卖家  一次愉快的购物之旅"
"","","衣服质量很好。我老公穿了刚好。喜欢的亲们可以下手了。"
"","","手感不错  穿着也很舒服 保暖效果也很好   💋💋"
"","","上身效果不错，布料一般般，一分钱一分货吧😊，习惯五星好评"
"","1.0","一分钱一分货！习惯好评！五星好评送上&hellip;&hellip;："
"","","男朋友很喜欢，一直上班没来得及评论。不过挺好，就是有点薄～"
"","","质量太差。"
"","","就是衣服买大了，买小一号正合适，不过质量还行"
"","","上身效果穿起来很好。秋天穿很合适。冬天那有点博毕竟是一分钱一分货嘛。"
"","","这是最失望的一次网购质量还行但是一点弹性都沒有太差了！！！！！！！"
"","1.0","衣服不错便宜实惠"
"","","质量可以！"
"","","质量还不错"
"","","衣服穿上还不错很时尚亲肤"
"","","衣服质量很好，尺码合适，面料舒服，做工精致，很合适，很喜欢，下次一定再次光临，很满意，赞一个！衣服收到，质量很不错，是那种带弹性的棉的。"
"","","挺便宜的衣服，也挺好看的，但是不是纯棉的，穿着非常不舒服，感觉买了之后就根本不想穿。"
"","","衣服不掉色，非常好"
"","","码数偏小"
"","","衣服收到感觉挺好的"
"","","我到了给头上面一样摸起来很暖穿起来暖暖的"
"","","性价比挺好的，穿着还不错，会考虑再次购买，换一款颜色可能。"
"","","衣服穿上非常帅，大小刚刚好，快递神速，服务一流，下次在来"
"","","和网页上图片一模一样，尺码也好准，这个价格可以了，至于需要全棉面料的可以咨询下老板，这个价格值了"
"","","这个真的很棒啊！我收到就很满意了！穿着舒服，面料又好滑滑的很舒服，跟图片一样一样的，我买了三件又不是另外买有的话我真心想在买两件！"
"","1.0","好看又实惠，非常满意的一次网购。"
"","","质量一般  有一点薄绒    一分钱一分货哈  喜欢的亲们考虑一下"
"","","非常的棒。零下十度，我就单穿他们一个保暖一点也不冷。如果买三个穿在身上就可以去南极了"
"","","很好的一次购物，穿上身挺合适也挺舒服的，看着用料不错"
"","","衣服收到了，不错，鹿是绣的，挺帅气的"
"","","质量一般般。啊？这个价钱是这样的货了。这个布料穿几次就会起球了"
"","","还不错  这个价格还ok"
"","","衣服很好、修身、保暖！爱不释手！棒棒哒！便宜不贵、需要的抓紧、赞赞赞赞赞赞赞赞赞赞"
"","","好、很好、非常好！衣服真的很好、穿着暖和、保暖！洗了不掉色、不缩水！很好"
"","","做工材料各方面都可以，物超所值，穿着也没有什么不舒服的地方，价格也便宜"
"","","不错，穿上很舒服，看看后面洗的时候掉色不，如果可以的话会再次购买！！！"
"","","布料很滑，很薄一般般吧价格在这儿"
"","","衣服收到了，还可以，只是尺寸方面感觉有点小，建议购买时选择大一点的"
"","","外面的料子是滑滑的那种，里面的绒没有想象中的好，但这个价格也可以了，好评吧"
"","","衣服质量很好，非常好看，价格实惠，值得购买，推荐"
"","1.0","合适"
"","","尺寸很合适，不起毛，穿了半个月了很舒适，还不错"
"","","衣服挺好的，就是腰围在小一点点就好了，我比较瘦，穿起来有一点大，"
"","","衣服已收到，质量还不错，穿着也舒服，已经是第二次购买宝贝了。"
"","","衣服了真心low   客服也一直催我评价 真心不想理 现在评价了  麻烦别天天催了 衣服穿出来很抛 质量也差 我当时是看销量买的 以为质量过的了关 算了 便宜没好货   也请评价之后不要打电话要我改好评  接那种电话真心烦 谢谢"
"","","十几块的衣服你还想怎么样？好评！"
"","","衣服面料很好，穿着舒服，本来还以为会有静电，结果没有，哈哈好评(o^^o)"
"","","上身非常好看。质量也不错。适合秋装单件穿。下次还回购"
"1.0","1.0","此用户没有填写评论!"
"","","垃圾衣服，会起毛不介意购买  就穿两次丢了，忘记评价了都"
"","","衣服做工很好  合身  物好价优  大家都可以下手！"
"","","弹性效果：大小合适，做工精细，用料不错，穿着舒服，好评！。"
"","","货已经收到了。质量还不错，穿着也挺舒服， 希望更加努力，继续加油"
"","","还挺不错的，上班穿穿阔以的！！！价格也实惠"
"","","衣服刚刚合适，很保暖。最近太忙了都忘了评论了，在这里向大家推荐推荐，可以试试噢"
"","","穿着一点都不舒服，衣服布料质量也不太好，工艺上我也只能呵呵了"
"","","衣服的布料穿起来很舒服，也很暖和， 适合们我这种紧跟潮流的年轻人，嗯，顺便一题客服态度也很好，发货速度也蛮快的"
"","","衣服的尺码刚好合身。款式也满意，穿起来感觉也挺好的。"
"","","衣服材质很好，穿着效果不错，而且价钱很公道"
"","","买回来老公不怎么喜欢、不过价格挺便宜的、还没有穿、不知道质量怎么样、先好评吧"
"","","衣服很实惠，穿起来很显青春气息，我就是帅小子！感谢商家的热情！"
"","","大小刚好穿着也好颜色了款式都好下次再买"
"","","宝贝到了就穿上了，很合适。很舒服。下次继续光临本店"
"","","拿到衣服质量不错，大小刚刚好，好看"
"","","衣服穿着不错"
"","","非常好，又合身，价格便宜！非常好的店家，感谢感谢！物流也快，五星好评！"
"","","衣服很好，很暖，就是收到的时候有点脏"
"","","衣服拼色处向内缝接，穿上去非常难受，刮着很不舒服！年度淘宝最差的一次购物！一星都不想给！"
"","","穿起来很舒服也很保暖也和图片上很相似挺漂亮"
"","","加肉的穿起来感觉不是很贴身，其他都挺好的"
"","","看着挺好，就是有点薄，还么穿呢，不知道尺寸合适不"
"","","大小合适，价格低调，服务态度很好"
"","","穿上去感觉有点宽松，我比较瘦要是胖点就完美了。"
"","","衣服收到，才穿上很舒适，又暖和这样的价钱，太实在了，下次有需要，再来"
"","","不错的，穿上身很舒服，大家可以买大一号的，合身"
"","","上身合适袖子短点价格低试试看吧"
"","","差点不能在差了，料子跟雨布一样，谁买谁上当，异味非常大"
"","","收到宝贝后试穿的效果，正好合身。不错已关注店铺，下次再来光顾。"
"","","很时尚好看，料子也不错，挺美的衣服"
"","","差差差差差差差差差差差差差差差差评 面料太差，做工太差，就当作买个教训吧"
"","","上身效果很好看   穿着也舒服    唯一不好的是  不是棉的   如果是棉的就完美了"
"","1.0","这件衣服和商家描述的一样，不错。"
"","","不好意思，来迟了  这衣服很好 很合身 也很暖"
"","","希望发货之前好好看看  改进一下"
"","1.0","多次购买，经济实惠，尺寸合适"
